country,year,population,Totale
Afghanistan,1952,8425333,8427285
Afghanistan,1957,9240934,9242891
Afghanistan,1962,10267083,10269045
Afghanistan,1967,11537966,11539933
Afghanistan,1972,13079460,13081432
Afghanistan,1977,14880372,14882349
Afghanistan,1982,12881816,12883798
Afghanistan,1987,13867957,13869944
Afghanistan,1992,16317921,16319913
Afghanistan,1997,22227415,22229412
Afghanistan,2002,25268405,25270407
Afghanistan,2007,31889923,31891930
Albania,1952,1282697,1284649
Albania,1957,1476505,1478462
Albania,1962,1728137,1730099
Albania,1967,1984060,1986027
Albania,1972,2263554,2265526
Albania,1977,2509048,2511025
Albania,1982,2780097,2782079
Albania,1987,3075321,3077308
Albania,1992,3326498,3328490
Albania,1997,3428038,3430035
Albania,2002,3508512,3510514
Albania,2007,3600523,3602530
Algeria,1952,9279525,9281477
Algeria,1957,10270856,10272813
Algeria,1962,11000948,11002910
Algeria,1967,12760499,12762466
Algeria,1972,14760787,14762759
Algeria,1977,17152804,17154781
Algeria,1982,20033753,20035735
Algeria,1987,23254956,23256943
Algeria,1992,26298373,26300365
Algeria,1997,29072015,29074012
Algeria,2002,31287142,31289144
Algeria,2007,33333216,33335223
Angola,1952,4232095,4234047
Angola,1957,4561361,4563318
Angola,1962,4826015,4827977
Angola,1967,5247469,5249436
Angola,1972,5894858,5896830
Angola,1977,6162675,6164652
Angola,1982,7016384,7018366
Angola,1987,7874230,7876217
Angola,1992,8735988,8737980
Angola,1997,9875024,9877021
Angola,2002,10866106,10868108
Angola,2007,12420476,12422483
Argentina,1952,17876956,17878908
Argentina,1957,19610538,19612495
Argentina,1962,21283783,21285745
Argentina,1967,22934225,22936192
Argentina,1972,24779799,24781771
Argentina,1977,26983828,26985805
Argentina,1982,29341374,29343356
Argentina,1987,31620918,31622905
Argentina,1992,33958947,33960939
Argentina,1997,36203463,36205460
Argentina,2002,38331121,38333123
Argentina,2007,40301927,40303934
Australia,1952,8691212,8693164
Australia,1957,9712569,9714526
Australia,1962,10794968,10796930
Australia,1967,11872264,11874231
Australia,1972,13177000,13178972
Australia,1977,14074100,14076077
Australia,1982,15184200,15186182
Australia,1987,16257249,16259236
Australia,1992,17481977,17483969
Australia,1997,18565243,18567240
Australia,2002,19546792,19548794
Australia,2007,20434176,20436183
Austria,1952,6927772,6929724
Austria,1957,6965860,6967817
Austria,1962,7129864,7131826
Austria,1967,7376998,7378965
Austria,1972,7544201,7546173
Austria,1977,7568430,7570407
Austria,1982,7574613,7576595
Austria,1987,7578903,7580890
Austria,1992,7914969,7916961
Austria,1997,8069876,8071873
Austria,2002,8148312,8150314
Austria,2007,8199783,8201790
Bahrain,1952,120447,122399
Bahrain,1957,138655,140612
Bahrain,1962,171863,173825
Bahrain,1967,202182,204149
Bahrain,1972,230800,232772
Bahrain,1977,297410,299387
Bahrain,1982,377967,379949
Bahrain,1987,454612,456599
Bahrain,1992,529491,531483
Bahrain,1997,598561,600558
Bahrain,2002,656397,658399
Bahrain,2007,708573,710580
Bangladesh,1952,46886859,46888811
Bangladesh,1957,51365468,51367425
Bangladesh,1962,56839289,56841251
Bangladesh,1967,62821884,62823851
Bangladesh,1972,70759295,70761267
Bangladesh,1977,80428306,80430283
Bangladesh,1982,93074406,93076388
Bangladesh,1987,103764241,103766228
Bangladesh,1992,113704579,113706571
Bangladesh,1997,123315288,123317285
Bangladesh,2002,135656790,135658792
Bangladesh,2007,150448339,150450346
Belgium,1952,8730405,8732357
Belgium,1957,8989111,8991068
Belgium,1962,9218400,9220362
Belgium,1967,9556500,9558467
Belgium,1972,9709100,9711072
Belgium,1977,9821800,9823777
Belgium,1982,9856303,9858285
Belgium,1987,9870200,9872187
Belgium,1992,10045622,10047614
Belgium,1997,10199787,10201784
Belgium,2002,10311970,10313972
Belgium,2007,10392226,10394233
Benin,1952,1738315,1740267
Benin,1957,1925173,1927130
Benin,1962,2151895,2153857
Benin,1967,2427334,2429301
Benin,1972,2761407,2763379
Benin,1977,3168267,3170244
Benin,1982,3641603,3643585
Benin,1987,4243788,4245775
Benin,1992,4981671,4983663
Benin,1997,6066080,6068077
Benin,2002,7026113,7028115
Benin,2007,8078314,8080321
Bolivia,1952,2883315,2885267
Bolivia,1957,3211738,3213695
